Date,Asset,ShiftName,ShiftStartTime,ShiftEndTime,IsProductive
10/6/2025,Trimmer,Shift A,10/6/2025 5:30,10/6/2025 6:30,No
10/6/2025,Gang,Shift A,10/6/2025 5:30,10/6/2025 6:30,No
10/6/2025,SharpChain,Shift A,10/6/2025 5:30,10/6/2025 6:30,No
10/6/2025,Gang,Shift A,10/6/2025 6:30,10/6/2025 17:30,Yes
10/6/2025,Trimmer,Shift A,10/6/2025 6:30,10/6/2025 17:30,Yes
10/6/2025,SharpChain,Shift A,10/6/2025 6:30,10/6/2025 17:30,Yes
10/6/2025,Trimmer,Shift B,10/6/2025 17:30,10/6/2025 18:30,No
10/6/2025,Gang,Shift B,10/6/2025 17:30,10/6/2025 18:30,No
10/6/2025,SharpChain,Shift B,10/6/2025 17:30,10/6/2025 18:30,No
10/6/2025,Trimmer,Shift B,10/6/2025 18:30,10/7/2025 5:30,Yes
10/6/2025,Gang,Shift B,10/6/2025 18:30,10/7/2025 5:30,Yes
10/6/2025,SharpChain,Shift B,10/6/2025 18:30,10/7/2025 5:30,Yes
10/7/2025,Trimmer,Shift A,10/7/2025 5:30,10/7/2025 6:30,No
10/7/2025,Gang,Shift A,10/7/2025 5:30,10/7/2025 6:30,No
10/7/2025,SharpChain,Shift A,10/7/2025 5:30,10/7/2025 6:30,No
10/7/2025,Gang,Shift A,10/7/2025 6:30,10/7/2025 17:30,Yes
10/7/2025,Trimmer,Shift A,10/7/2025 6:30,10/7/2025 17:30,Yes
10/7/2025,SharpChain,Shift A,10/7/2025 6:30,10/7/2025 17:30,Yes
10/7/2025,Trimmer,Shift B,10/7/2025 17:30,10/7/2025 18:30,No
10/7/2025,Gang,Shift B,10/7/2025 17:30,10/7/2025 18:30,No
10/7/2025,SharpChain,Shift B,10/7/2025 17:30,10/7/2025 18:30,No
10/7/2025,Trimmer,Shift B,10/7/2025 18:30,10/8/2025 5:30,Yes
10/7/2025,Gang,Shift B,10/7/2025 18:30,10/8/2025 5:30,Yes
10/7/2025,SharpChain,Shift B,10/7/2025 18:30,10/8/2025 5:30,Yes
10/8/2025,Trimmer,Shift A,10/8/2025 5:30,10/8/2025 6:30,No
10/8/2025,Gang,Shift A,10/8/2025 5:30,10/8/2025 6:30,No
10/8/2025,SharpChain,Shift A,10/8/2025 5:30,10/8/2025 6:30,No
10/8/2025,Trimmer,Shift A,10/8/2025 6:30,10/8/2025 17:30,Yes
10/8/2025,Gang,Shift A,10/8/2025 6:30,10/8/2025 17:30,Yes
10/8/2025,SharpChain,Shift A,10/8/2025 6:30,10/8/2025 17:30,Yes
10/8/2025,SharpChain,Shift B,10/8/2025 17:30,10/8/2025 18:30,No
10/8/2025,Gang,Shift B,10/8/2025 17:30,10/8/2025 18:30,No
10/8/2025,Trimmer,Shift B,10/8/2025 17:30,10/8/2025 18:30,No
10/8/2025,SharpChain,Shift B,10/8/2025 18:30,10/9/2025 5:30,Yes
10/8/2025,Gang,Shift B,10/8/2025 18:30,10/9/2025 5:30,Yes
10/8/2025,Trimmer,Shift B,10/8/2025 18:30,10/9/2025 5:30,Yes
10/9/2025,Trimmer,Shift A,10/9/2025 5:30,10/9/2025 6:30,No
10/9/2025,Gang,Shift A,10/9/2025 5:30,10/9/2025 6:30,No
10/9/2025,SharpChain,Shift A,10/9/2025 5:30,10/9/2025 6:30,No
10/9/2025,Trimmer,Shift A,10/9/2025 6:30,10/9/2025 17:30,Yes
10/9/2025,Gang,Shift A,10/9/2025 6:30,10/9/2025 17:30,Yes
10/9/2025,SharpChain,Shift A,10/9/2025 6:30,10/9/2025 17:30,Yes
10/9/2025,SharpChain,Shift B,10/9/2025 17:30,10/9/2025 18:30,No
10/9/2025,Gang,Shift B,10/9/2025 17:30,10/9/2025 18:30,No
10/9/2025,Trimmer,Shift B,10/9/2025 17:30,10/9/2025 18:30,No
10/9/2025,Trimmer,Shift B,10/9/2025 18:30,10/10/2025 5:30,Yes
10/9/2025,Gang,Shift B,10/9/2025 18:30,10/10/2025 5:30,Yes
10/9/2025,SharpChain,Shift B,10/9/2025 18:30,10/10/2025 5:30,Yes
10/10/2025,Gang,Shift A,10/10/2025 5:30,10/10/2025 6:30,No
10/10/2025,Trimmer,Shift A,10/10/2025 5:30,10/10/2025 6:30,No
10/10/2025,SharpChain,Shift A,10/10/2025 5:30,10/10/2025 6:30,No
10/10/2025,Trimmer,Shift A,10/10/2025 6:30,10/10/2025 17:30,Yes
10/10/2025,Gang,Shift A,10/10/2025 6:30,10/10/2025 17:30,Yes
10/10/2025,SharpChain,Shift A,10/10/2025 6:30,10/10/2025 17:30,Yes
10/10/2025,SharpChain,Shift B,10/10/2025 17:30,10/10/2025 18:30,No
10/10/2025,Gang,Shift B,10/10/2025 17:30,10/10/2025 18:30,No
10/10/2025,Trimmer,Shift B,10/10/2025 17:30,10/10/2025 18:30,No
10/10/2025,SharpChain,Shift B,10/10/2025 18:30,10/11/2025 5:30,Yes
10/10/2025,Gang,Shift B,10/10/2025 18:30,10/11/2025 5:30,Yes
10/10/2025,Trimmer,Shift B,10/10/2025 18:30,10/11/2025 5:30,Yes
10/11/2025,Gang,Shift A,10/11/2025 5:30,10/11/2025 6:30,No
10/11/2025,Trimmer,Shift A,10/11/2025 5:30,10/11/2025 6:30,No
10/11/2025,SharpChain,Shift A,10/11/2025 5:30,10/11/2025 6:30,No
10/11/2025,Trimmer,Shift A,10/11/2025 6:30,10/11/2025 17:30,Yes
10/11/2025,Gang,Shift A,10/11/2025 6:30,10/11/2025 17:30,Yes
10/11/2025,SharpChain,Shift A,10/11/2025 6:30,10/11/2025 17:30,Yes
10/11/2025,Trimmer,Shift B,10/11/2025 17:30,10/11/2025 18:30,No
